iteration_number, input_size, hull_size, time[sec]
6, 170000, 1000, 37.35420884620544
6, 180000, 1000, 40.521253974877254
6, 190000, 1000, 61.31176243498976
6, 200000, 1000, 67.65029208241049
7, 10000, 1000, 2.2318091058168648
7, 20000, 1000, 4.495629738211392
7, 30000, 1000, 6.968381499546922
7, 40000, 1000, 12.163868099120009
7, 50000, 1000, 21.83781477474622
7, 60000, 1000, 20.899972389709546
7, 70000, 1000, 18.14352633049384
7, 80000, 1000, 31.643526945878875
7, 90000, 1000, 31.770457973897464
7, 100000, 1000, 35.98756757444244
7, 110000, 1000, 34.143912382251074
7, 120000, 1000, 53.83626646514858
7, 130000, 1000, 30.38259534268218
7, 140000, 1000, 58.677400628595024
7, 150000, 1000, 69.27388300375333
7, 160000, 1000, 42.46889534633283
7, 170000, 1000, 39.601023508952494
7, 180000, 1000, 41.62135953398047
7, 190000, 1000, 44.1617630708879
7, 200000, 1000, 47.67490380501022
8, 10000, 1000, 2.0715459342100075
8, 20000, 1000, 4.200425682575769
8, 30000, 1000, 6.37928005654976
8, 40000, 1000, 8.632620265789228
8, 50000, 1000, 11.46574211168263
8, 60000, 1000, 13.773909465324323
8, 70000, 1000, 16.572275986391105
8, 80000, 1000, 18.42115251834184
8, 90000, 1000, 20.82111854906907
8, 100000, 1000, 23.230442540031618
8, 110000, 1000, 25.63301821499681
8, 120000, 1000, 27.754574056911224
8, 130000, 1000, 30.568771161564655
8, 140000, 1000, 30.72489155884159
8, 150000, 1000, 33.70629584364633
8, 160000, 1000, 35.180299709087194
8, 170000, 1000, 37.72644068895261
8, 180000, 1000, 39.98799670317476
8, 190000, 1000, 61.188341975394906
8, 200000, 1000, 47.42606493464427
9, 10000, 1000, 2.1935620843842116
9, 20000, 1000, 4.795619030505804
9, 30000, 1000, 6.665492101118616
9, 40000, 1000, 9.256829444302639
9, 50000, 1000, 11.576066350030487
9, 60000, 1000, 13.323403885215157
9, 70000, 1000, 16.059589406673695
9, 80000, 1000, 21.388964171032967
9, 90000, 1000, 24.280238293627008
9, 100000, 1000, 24.953688148129004
9, 110000, 1000, 26.213577698761583
9, 120000, 1000, 28.160817838955154
9, 130000, 1000, 31.680832017434113
9, 140000, 1000, 33.86729460590141
9, 150000, 1000, 36.22618161171067
9, 160000, 1000, 41.3680390170739
9, 170000, 1000, 39.318588289545005
9, 180000, 1000, 42.10117797068051
9, 190000, 1000, 44.98566808492524
9, 200000, 1000, 45.53009254985773
10, 10000, 1000, 2.0653625419854507
10, 20000, 1000, 4.09636934937771
10, 30000, 1000, 6.286880763340378
10, 40000, 1000, 8.572658345835407
10, 50000, 1000, 10.585311899871158
10, 60000, 1000, 13.158206553690434
10, 70000, 1000, 15.838328006147094
10, 80000, 1000, 17.99885538320632
10, 90000, 1000, 20.556883967446993
10, 100000, 1000, 24.672077545121283
10, 110000, 1000, 27.437863103010386
10, 120000, 1000, 27.80648386439043
10, 130000, 1000, 31.022276129981037
10, 140000, 1000, 36.04658098040727
10, 150000, 1000, 34.89760356628176
10, 160000, 1000, 40.222275965878
10, 170000, 1000, 40.239043166001466
10, 180000, 1000, 43.76559766022274
10, 190000, 1000, 45.69872414201927
10, 200000, 1000, 52.0661830558156
